Longitude,Latitude,PGA (g) - %2,PGA (g) - %10,PGA (g) - %50,PGA (g) - %68,SS (g) - %2 ,SS (g) - %10,SS (g) - %50,SS (g) - %68,S1 (g) - %2 ,S1 (g) - %10,S1 (g) - %50,S1 (g) - %68
24.950,40.950,0.498,0.237,0.080,0.054,1.228,0.567,0.185,0.122,0.334,0.170,0.066,0.046
25.050,39.150,0.689,0.342,0.123,0.088,1.672,0.811,0.287,0.206,0.415,0.203,0.079,0.058
25.050,39.250,0.602,0.312,0.117,0.084,1.486,0.745,0.273,0.197,0.377,0.195,0.079,0.058
25.050,39.350,0.591,0.302,0.114,0.082,1.455,0.719,0.264,0.191,0.378,0.195,0.079,0.058
25.050,39.450,0.607,0.306,0.113,0.082,1.494,0.727,0.261,0.189,0.391,0.201,0.080,0.059
25.050,39.550,0.709,0.327,0.114,0.082,1.704,0.773,0.264,0.191,0.454,0.215,0.082,0.060
25.050,39.650,0.614,0.317,0.118,0.085,1.521,0.756,0.275,0.199,0.409,0.214,0.085,0.061
25.050,39.750,0.780,0.360,0.126,0.091,1.866,0.848,0.293,0.211,0.511,0.240,0.089,0.064
25.050,39.850,0.677,0.353,0.139,0.102,1.659,0.841,0.319,0.231,0.453,0.240,0.094,0.067
25.050,39.950,0.628,0.364,0.160,0.117,1.560,0.873,0.371,0.273,0.451,0.250,0.103,0.073
25.050,40.050,0.738,0.433,0.189,0.138,1.835,1.047,0.437,0.315,0.536,0.292,0.112,0.078
25.050,40.150,1.069,0.591,0.220,0.152,2.651,1.421,0.508,0.348,0.755,0.384,0.124,0.082
25.050,40.250,1.046,0.591,0.222,0.152,2.627,1.434,0.517,0.349,0.744,0.384,0.124,0.081
25.050,40.350,0.876,0.497,0.204,0.141,2.212,1.211,0.469,0.321,0.594,0.315,0.114,0.077
25.050,40.450,0.848,0.452,0.171,0.115,2.136,1.106,0.406,0.269,0.559,0.286,0.104,0.070
25.050,40.550,0.802,0.413,0.147,0.093,2.006,1.000,0.339,0.217,0.520,0.259,0.093,0.063
25.050,40.650,0.739,0.371,0.124,0.079,1.841,0.896,0.292,0.181,0.477,0.235,0.085,0.057
25.050,40.750,0.665,0.327,0.108,0.068,1.654,0.792,0.250,0.157,0.430,0.212,0.078,0.054
25.050,40.850,0.590,0.286,0.094,0.061,1.460,0.683,0.218,0.140,0.384,0.191,0.073,0.050
25.050,40.950,0.522,0.249,0.083,0.055,1.287,0.596,0.193,0.125,0.346,0.175,0.067,0.047
25.050,41.050,0.501,0.226,0.075,0.051,1.229,0.539,0.172,0.116,0.332,0.164,0.063,0.044
25.050,41.150,0.464,0.206,0.069,0.048,1.134,0.486,0.159,0.110,0.314,0.155,0.060,0.042
25.150,38.150,0.520,0.277,0.108,0.078,1.269,0.652,0.247,0.177,0.301,0.156,0.065,0.049
25.150,38.250,0.540,0.287,0.114,0.083,1.320,0.679,0.263,0.192,0.316,0.162,0.067,0.051
25.150,38.350,0.564,0.300,0.120,0.087,1.384,0.714,0.281,0.206,0.331,0.169,0.070,0.053
25.150,38.450,0.583,0.311,0.125,0.091,1.436,0.744,0.292,0.214,0.346,0.176,0.073,0.055
25.150,38.950,0.621,0.333,0.133,0.097,1.527,0.796,0.309,0.224,0.372,0.192,0.079,0.059
25.150,39.050,0.668,0.347,0.130,0.094,1.633,0.825,0.304,0.219,0.404,0.202,0.080,0.059
25.150,39.150,0.718,0.360,0.128,0.091,1.742,0.850,0.298,0.213,0.434,0.210,0.080,0.059
25.150,39.250,0.671,0.336,0.122,0.087,1.636,0.800,0.285,0.205,0.411,0.205,0.080,0.059
25.150,39.350,0.594,0.305,0.116,0.084,1.462,0.727,0.270,0.196,0.378,0.196,0.080,0.059
25.150,39.450,0.560,0.292,0.113,0.082,1.374,0.696,0.263,0.191,0.364,0.194,0.080,0.059
25.150,39.550,0.649,0.312,0.113,0.082,1.579,0.741,0.263,0.191,0.417,0.207,0.082,0.060
25.150,39.650,0.646,0.318,0.117,0.085,1.578,0.756,0.271,0.197,0.421,0.214,0.084,0.061
25.150,39.750,0.660,0.338,0.124,0.090,1.625,0.804,0.290,0.209,0.435,0.226,0.088,0.064
25.150,39.850,0.848,0.401,0.138,0.100,2.043,0.935,0.318,0.228,0.554,0.261,0.095,0.067
25.150,39.950,0.700,0.391,0.162,0.118,1.724,0.928,0.375,0.274,0.472,0.257,0.103,0.074
25.150,40.050,0.731,0.432,0.192,0.141,1.817,1.042,0.441,0.320,0.520,0.287,0.113,0.079
25.150,40.150,1.010,0.584,0.230,0.160,2.542,1.411,0.535,0.369,0.708,0.375,0.128,0.084
25.150,40.250,1.069,0.613,0.251,0.167,2.692,1.479,0.583,0.388,0.751,0.391,0.137,0.086
25.150,40.350,0.912,0.532,0.221,0.155,2.308,1.292,0.516,0.357,0.626,0.335,0.121,0.081
25.150,40.450,0.869,0.475,0.190,0.130,2.186,1.158,0.442,0.303,0.571,0.295,0.109,0.074
25.150,40.550,0.821,0.427,0.155,0.103,2.062,1.040,0.363,0.234,0.534,0.267,0.097,0.065
25.150,40.650,0.766,0.387,0.131,0.083,1.906,0.935,0.307,0.192,0.492,0.242,0.087,0.059
25.150,40.750,0.691,0.342,0.113,0.072,1.721,0.828,0.263,0.163,0.445,0.219,0.080,0.055
25.150,40.850,0.614,0.299,0.098,0.063,1.528,0.718,0.227,0.145,0.399,0.198,0.074,0.051
25.150,40.950,0.547,0.261,0.086,0.057,1.348,0.625,0.202,0.129,0.359,0.180,0.068,0.048
25.150,41.050,0.524,0.236,0.078,0.053,1.282,0.563,0.177,0.118,0.344,0.168,0.064,0.045
25.150,41.150,0.467,0.211,0.071,0.049,1.145,0.499,0.162,0.112,0.316,0.157,0.060,0.043
25.150,41.250,0.426,0.196,0.068,0.048,1.035,0.461,0.155,0.109,0.287,0.147,0.058,0.042
25.250,37.850,0.492,0.242,0.088,0.063,1.159,0.554,0.198,0.144,0.288,0.146,0.059,0.044
25.250,37.950,0.559,0.277,0.097,0.069,1.321,0.635,0.220,0.156,0.308,0.154,0.062,0.047
25.250,38.050,0.578,0.294,0.106,0.076,1.384,0.682,0.240,0.170,0.317,0.160,0.065,0.049
25.250,38.150,0.573,0.298,0.112,0.081,1.388,0.700,0.258,0.185,0.321,0.163,0.067,0.051
25.250,38.250,0.558,0.296,0.117,0.085,1.367,0.704,0.274,0.200,0.325,0.167,0.069,0.053
25.250,38.350,0.571,0.305,0.123,0.090,1.405,0.730,0.289,0.211,0.335,0.172,0.072,0.054
25.250,38.450,0.598,0.319,0.129,0.095,1.479,0.769,0.301,0.220,0.354,0.181,0.075,0.056
25.250,38.550,0.641,0.340,0.135,0.099,1.585,0.817,0.314,0.229,0.380,0.192,0.077,0.057
25.250,38.650,0.714,0.364,0.140,0.103,1.739,0.869,0.325,0.236,0.423,0.204,0.079,0.059
25.250,38.750,0.696,0.361,0.142,0.104,1.705,0.863,0.328,0.239,0.420,0.204,0.080,0.059
25.250,38.850,0.653,0.349,0.141,0.104,1.607,0.835,0.326,0.238,0.391,0.198,0.080,0.060
25.250,38.950,0.627,0.337,0.138,0.102,1.546,0.809,0.319,0.233,0.377,0.195,0.080,0.060
25.250,39.050,0.651,0.343,0.134,0.098,1.597,0.819,0.312,0.226,0.392,0.200,0.081,0.060
25.250,39.150,0.725,0.363,0.132,0.095,1.757,0.858,0.306,0.220,0.443,0.212,0.082,0.060
25.250,39.250,0.690,0.349,0.127,0.091,1.684,0.829,0.297,0.213,0.424,0.209,0.082,0.060
25.250,39.350,0.620,0.316,0.120,0.087,1.520,0.754,0.282,0.205,0.388,0.200,0.081,0.060
25.250,39.450,0.552,0.289,0.115,0.084,1.349,0.688,0.267,0.196,0.358,0.192,0.081,0.060
25.250,39.550,0.564,0.290,0.113,0.083,1.377,0.689,0.263,0.193,0.368,0.196,0.082,0.060
25.250,39.650,0.654,0.309,0.115,0.084,1.584,0.733,0.267,0.196,0.428,0.210,0.084,0.061
25.250,39.750,0.598,0.313,0.121,0.088,1.477,0.747,0.284,0.207,0.402,0.214,0.087,0.063
25.250,39.850,0.718,0.364,0.135,0.098,1.753,0.862,0.312,0.225,0.468,0.241,0.093,0.067
25.250,39.950,0.829,0.420,0.159,0.115,2.008,0.992,0.368,0.267,0.544,0.273,0.103,0.074
25.250,40.050,0.769,0.444,0.193,0.141,1.907,1.076,0.444,0.321,0.532,0.292,0.114,0.080
25.250,40.150,1.000,0.588,0.237,0.165,2.527,1.428,0.557,0.384,0.702,0.378,0.131,0.087
25.250,40.250,1.144,0.664,0.280,0.179,2.878,1.606,0.637,0.413,0.827,0.432,0.149,0.091
25.250,40.350,0.930,0.558,0.234,0.164,2.380,1.359,0.555,0.385,0.662,0.360,0.129,0.085
25.250,40.450,0.879,0.491,0.206,0.145,2.212,1.196,0.473,0.329,0.582,0.306,0.114,0.078
25.250,40.550,0.837,0.441,0.165,0.111,2.108,1.078,0.392,0.257,0.546,0.276,0.102,0.068
25.250,40.650,0.787,0.402,0.139,0.088,1.964,0.970,0.323,0.206,0.506,0.250,0.090,0.061
25.250,40.750,0.716,0.357,0.118,0.075,1.782,0.862,0.278,0.170,0.460,0.226,0.082,0.056
25.250,40.850,0.638,0.312,0.103,0.065,1.587,0.753,0.237,0.149,0.413,0.204,0.076,0.052
25.250,40.950,0.567,0.273,0.089,0.058,1.400,0.652,0.208,0.133,0.370,0.185,0.070,0.048
25.250,41.050,0.535,0.244,0.080,0.054,1.313,0.583,0.183,0.121,0.350,0.172,0.065,0.046
25.250,41.150,0.485,0.218,0.073,0.050,1.186,0.516,0.166,0.113,0.326,0.160,0.061,0.043
25.250,41.250,0.429,0.198,0.069,0.048,1.047,0.467,0.157,0.110,0.291,0.149,0.059,0.042
25.250,41.350,0.420,0.192,0.067,0.047,1.021,0.453,0.153,0.108,0.278,0.142,0.057,0.041
25.250,41.450,0.424,0.193,0.066,0.047,1.033,0.455,0.152,0.107,0.273,0.138,0.055,0.040
25.250,41.550,0.432,0.197,0.066,0.047,1.055,0.465,0.152,0.107,0.274,0.136,0.054,0.039
25.250,41.650,0.445,0.204,0.067,0.047,1.090,0.480,0.155,0.108,0.277,0.136,0.053,0.038
25.250,41.750,0.459,0.211,0.069,0.047,1.126,0.499,0.158,0.109,0.283,0.136,0.052,0.038
25.250,41.850,0.474,0.219,0.071,0.048,1.163,0.518,0.162,0.110,0.289,0.136,0.051,0.037
25.250,41.950,0.486,0.224,0.072,0.048,1.194,0.533,0.164,0.111,0.294,0.136,0.049,0.035
25.250,42.050,0.487,0.225,0.072,0.048,1.197,0.535,0.164,0.110,0.292,0.133,0.047,0.033
25.350,37.750,0.437,0.214,0.082,0.061,1.013,0.483,0.183,0.136,0.277,0.141,0.058,0.043
25.350,37.850,0.478,0.234,0.087,0.064,1.132,0.538,0.198,0.145,0.296,0.148,0.060,0.044
25.350,37.950,0.562,0.277,0.099,0.071,1.337,0.638,0.222,0.159,0.327,0.159,0.063,0.047
25.350,38.050,0.613,0.308,0.109,0.078,1.478,0.717,0.248,0.175,0.347,0.168,0.067,0.050
25.350,38.150,0.617,0.314,0.116,0.083,1.498,0.739,0.268,0.192,0.352,0.172,0.069,0.053
25.350,38.250,0.627,0.325,0.124,0.089,1.529,0.772,0.289,0.208,0.353,0.177,0.072,0.054
25.350,38.350,0.615,0.325,0.128,0.094,1.515,0.779,0.300,0.218,0.356,0.181,0.074,0.055
25.350,38.450,0.637,0.335,0.132,0.097,1.574,0.806,0.309,0.226,0.378,0.190,0.077,0.057
25.350,38.550,0.713,0.365,0.140,0.103,1.741,0.873,0.325,0.236,0.425,0.206,0.079,0.059
25.350,38.650,0.723,0.375,0.144,0.105,1.770,0.895,0.334,0.242,0.437,0.211,0.081,0.060
25.350,38.750,0.656,0.353,0.144,0.106,1.627,0.852,0.334,0.244,0.397,0.202,0.081,0.060
25.350,38.850,0.640,0.345,0.143,0.105,1.587,0.831,0.331,0.243,0.388,0.198,0.081,0.061
25.350,38.950,0.640,0.344,0.142,0.105,1.580,0.827,0.328,0.241,0.384,0.198,0.082,0.061
25.350,39.050,0.631,0.340,0.139,0.102,1.558,0.816,0.321,0.235,0.383,0.199,0.082,0.061
25.350,39.150,0.677,0.353,0.136,0.099,1.657,0.840,0.315,0.228,0.410,0.208,0.083,0.061
25.350,39.250,0.712,0.360,0.133,0.096,1.731,0.854,0.309,0.222,0.441,0.214,0.083,0.061
25.350,39.350,0.629,0.327,0.126,0.091,1.549,0.784,0.295,0.214,0.397,0.204,0.083,0.061
25.350,39.450,0.561,0.295,0.118,0.086,1.371,0.704,0.278,0.204,0.360,0.193,0.082,0.060
25.350,39.550,0.536,0.282,0.114,0.084,1.312,0.671,0.265,0.197,0.353,0.191,0.082,0.060
25.350,39.650,0.568,0.289,0.114,0.084,1.384,0.686,0.265,0.196,0.374,0.198,0.083,0.061
25.350,39.750,0.586,0.297,0.119,0.087,1.431,0.707,0.277,0.205,0.394,0.207,0.086,0.063
25.350,39.850,0.580,0.315,0.130,0.096,1.432,0.755,0.302,0.220,0.401,0.219,0.091,0.066
25.350,39.950,0.741,0.383,0.152,0.110,1.804,0.909,0.349,0.253,0.499,0.257,0.100,0.072
25.350,40.050,0.802,0.450,0.189,0.137,1.982,1.088,0.437,0.314,0.546,0.294,0.113,0.079
25.350,40.150,0.997,0.586,0.238,0.166,2.514,1.422,0.560,0.388,0.701,0.378,0.133,0.088
25.350,40.250,1.193,0.696,0.297,0.187,3.003,1.697,0.679,0.430,0.856,0.455,0.158,0.094
25.350,40.350,1.017,0.609,0.252,0.174,2.601,1.506,0.589,0.406,0.726,0.399,0.138,0.089
25.350,40.450,0.873,0.499,0.214,0.152,2.202,1.219,0.498,0.351,0.589,0.315,0.119,0.081
25.350,40.550,0.851,0.457,0.178,0.121,2.143,1.115,0.419,0.287,0.556,0.284,0.106,0.072
25.350,40.650,0.805,0.414,0.147,0.094,2.014,1.002,0.339,0.217,0.519,0.257,0.093,0.062
25.350,40.750,0.738,0.370,0.122,0.078,1.838,0.894,0.289,0.177,0.474,0.233,0.084,0.057
25.350,40.850,0.660,0.325,0.106,0.067,1.644,0.787,0.246,0.153,0.427,0.210,0.077,0.053
25.350,40.950,0.586,0.284,0.092,0.059,1.452,0.679,0.215,0.136,0.381,0.190,0.072,0.049
25.350,41.050,0.537,0.250,0.082,0.055,1.322,0.599,0.189,0.123,0.352,0.174,0.066,0.046
25.350,41.150,0.505,0.224,0.075,0.051,1.231,0.531,0.169,0.115,0.336,0.163,0.062,0.044
25.350,41.250,0.431,0.199,0.069,0.049,1.055,0.470,0.158,0.110,0.295,0.150,0.059,0.042
25.350,41.350,0.418,0.192,0.067,0.047,1.017,0.452,0.154,0.108,0.279,0.143,0.057,0.041
25.350,41.450,0.423,0.193,0.066,0.047,1.030,0.454,0.152,0.107,0.273,0.139,0.056,0.040
25.350,41.550,0.429,0.196,0.066,0.047,1.047,0.461,0.152,0.107,0.272,0.136,0.054,0.039
25.350,41.650,0.440,0.201,0.067,0.047,1.078,0.474,0.153,0.107,0.275,0.135,0.053,0.039
25.350,41.750,0.454,0.208,0.068,0.047,1.113,0.491,0.156,0.108,0.280,0.135,0.052,0.038
25.350,41.850,0.467,0.215,0.069,0.047,1.148,0.509,0.159,0.109,0.286,0.135,0.051,0.037
25.350,41.950,0.475,0.219,0.070,0.047,1.167,0.519,0.161,0.109,0.288,0.134,0.049,0.035
25.350,42.050,0.476,0.220,0.070,0.047,1.170,0.521,0.160,0.108,0.287,0.132,0.047,0.033
25.350,42.150,0.471,0.216,0.068,0.046,1.156,0.511,0.157,0.106,0.280,0.125,0.043,0.030
25.450,37.650,0.440,0.218,0.084,0.062,1.013,0.488,0.185,0.138,0.278,0.143,0.058,0.043
25.450,37.750,0.437,0.216,0.083,0.062,1.016,0.488,0.186,0.138,0.282,0.144,0.059,0.044
25.450,37.850,0.462,0.228,0.087,0.064,1.098,0.525,0.198,0.147,0.297,0.149,0.060,0.045
25.450,37.950,0.551,0.271,0.099,0.072,1.315,0.628,0.223,0.160,0.332,0.161,0.064,0.048
25.450,38.050,0.629,0.316,0.112,0.079,1.521,0.737,0.255,0.180,0.364,0.174,0.068,0.052
25.450,38.150,0.651,0.332,0.120,0.086,1.581,0.782,0.280,0.200,0.378,0.181,0.072,0.054
25.450,38.250,0.662,0.342,0.129,0.092,1.612,0.810,0.299,0.215,0.384,0.186,0.074,0.056
25.450,38.350,0.659,0.345,0.134,0.097,1.620,0.822,0.310,0.225,0.390,0.192,0.076,0.057
25.450,38.450,0.696,0.359,0.138,0.101,1.708,0.857,0.320,0.232,0.421,0.204,0.079,0.058
25.450,38.550,0.713,0.374,0.144,0.105,1.752,0.894,0.333,0.241,0.428,0.211,0.081,0.060
25.450,38.650,0.730,0.384,0.148,0.107,1.797,0.917,0.343,0.248,0.442,0.216,0.083,0.061
25.450,38.750,0.661,0.359,0.147,0.107,1.646,0.866,0.341,0.249,0.403,0.206,0.083,0.061
25.450,38.850,0.644,0.348,0.146,0.107,1.603,0.842,0.337,0.248,0.392,0.201,0.082,0.061
25.450,38.950,0.639,0.345,0.145,0.106,1.586,0.832,0.334,0.246,0.390,0.200,0.083,0.062
25.450,39.050,0.647,0.348,0.144,0.106,1.596,0.837,0.333,0.244,0.392,0.203,0.084,0.062
25.450,39.150,0.649,0.350,0.142,0.104,1.603,0.840,0.328,0.238,0.401,0.208,0.085,0.063
25.450,39.250,0.689,0.364,0.141,0.102,1.694,0.869,0.325,0.233,0.428,0.217,0.086,0.063
25.450,39.350,0.655,0.346,0.135,0.098,1.615,0.829,0.313,0.226,0.414,0.212,0.085,0.063
25.450,39.450,0.574,0.306,0.124,0.091,1.411,0.734,0.292,0.213,0.370,0.198,0.083,0.062
25.450,39.550,0.544,0.287,0.117,0.086,1.331,0.683,0.274,0.204,0.355,0.192,0.082,0.061
25.450,39.650,0.531,0.278,0.114,0.084,1.299,0.663,0.266,0.198,0.354,0.193,0.083,0.061
