Longitude,Latitude,PGA (g) - %2,PGA (g) - %10,PGA (g) - %50,PGA (g) - %68,SS (g) - %2 ,SS (g) - %10,SS (g) - %50,SS (g) - %68,S1 (g) - %2 ,S1 (g) - %10,S1 (g) - %50,S1 (g) - %68
29.050,41.650,0.514,0.188,0.054,0.037,1.237,0.437,0.120,0.081,0.324,0.142,0.052,0.035
29.050,41.750,0.319,0.141,0.047,0.033,0.770,0.325,0.106,0.074,0.232,0.122,0.048,0.032
29.050,41.850,0.235,0.113,0.042,0.030,0.560,0.258,0.093,0.066,0.196,0.109,0.044,0.030
29.050,41.950,0.196,0.096,0.038,0.028,0.459,0.219,0.083,0.060,0.177,0.100,0.041,0.028
29.050,42.050,0.176,0.086,0.034,0.025,0.410,0.195,0.076,0.055,0.165,0.093,0.039,0.027
29.050,42.150,0.168,0.080,0.032,0.023,0.391,0.181,0.069,0.051,0.156,0.087,0.036,0.025
29.050,42.250,0.173,0.078,0.029,0.022,0.403,0.175,0.064,0.047,0.151,0.082,0.033,0.023
29.050,42.350,0.200,0.079,0.028,0.020,0.463,0.178,0.060,0.043,0.150,0.080,0.031,0.022
29.150,35.350,0.939,0.510,0.205,0.150,2.133,1.123,0.427,0.311,0.634,0.314,0.112,0.080
29.150,35.450,0.868,0.490,0.207,0.152,1.997,1.095,0.433,0.317,0.578,0.302,0.113,0.081
29.150,35.550,0.785,0.452,0.200,0.150,1.799,1.011,0.424,0.314,0.519,0.281,0.111,0.081
29.150,35.650,0.729,0.427,0.195,0.148,1.679,0.954,0.419,0.314,0.483,0.265,0.110,0.081
29.150,35.750,0.725,0.426,0.197,0.150,1.679,0.954,0.426,0.320,0.476,0.262,0.110,0.081
29.150,35.850,0.761,0.440,0.203,0.153,1.765,0.994,0.436,0.328,0.502,0.273,0.113,0.083
29.150,35.950,0.814,0.470,0.208,0.155,1.925,1.081,0.451,0.334,0.534,0.291,0.117,0.085
29.150,36.050,0.971,0.543,0.214,0.155,2.343,1.240,0.463,0.335,0.605,0.319,0.120,0.086
29.150,36.150,1.022,0.553,0.208,0.151,2.450,1.256,0.450,0.325,0.620,0.320,0.118,0.085
29.150,36.250,0.761,0.434,0.187,0.142,1.814,0.997,0.415,0.308,0.482,0.267,0.111,0.082
29.150,36.350,0.672,0.384,0.173,0.132,1.589,0.878,0.389,0.295,0.442,0.244,0.106,0.079
29.150,36.450,0.669,0.374,0.168,0.129,1.586,0.860,0.379,0.290,0.442,0.240,0.104,0.078
29.150,36.550,0.714,0.394,0.172,0.131,1.704,0.910,0.391,0.294,0.465,0.245,0.104,0.077
29.150,36.650,0.803,0.436,0.182,0.136,1.915,1.013,0.413,0.305,0.496,0.256,0.105,0.078
29.150,36.750,0.810,0.444,0.185,0.139,1.949,1.041,0.421,0.309,0.497,0.257,0.105,0.077
29.150,36.850,0.800,0.438,0.183,0.136,1.922,1.026,0.417,0.306,0.493,0.253,0.103,0.076
29.150,36.950,0.797,0.437,0.181,0.135,1.925,1.028,0.414,0.304,0.490,0.252,0.102,0.075
29.150,37.050,0.840,0.457,0.181,0.132,2.059,1.084,0.412,0.299,0.520,0.263,0.101,0.074
29.150,37.150,0.873,0.463,0.174,0.126,2.143,1.094,0.399,0.288,0.542,0.266,0.098,0.072
29.150,37.250,0.760,0.412,0.164,0.120,1.839,0.965,0.374,0.274,0.452,0.232,0.092,0.069
29.150,37.350,0.662,0.360,0.150,0.111,1.595,0.844,0.340,0.252,0.393,0.208,0.087,0.065
29.150,37.450,0.599,0.328,0.142,0.107,1.438,0.774,0.322,0.240,0.356,0.193,0.083,0.063
29.150,37.550,0.623,0.339,0.146,0.109,1.521,0.807,0.333,0.249,0.373,0.198,0.085,0.064
29.150,37.650,0.712,0.386,0.160,0.119,1.759,0.925,0.374,0.280,0.421,0.218,0.090,0.067
29.150,37.750,0.831,0.456,0.183,0.134,2.105,1.115,0.429,0.311,0.500,0.255,0.098,0.073
29.150,37.850,0.949,0.515,0.195,0.140,2.386,1.246,0.454,0.324,0.603,0.295,0.104,0.075
29.150,37.950,0.864,0.471,0.184,0.132,2.192,1.156,0.433,0.310,0.547,0.274,0.101,0.074
29.150,38.050,0.755,0.408,0.163,0.118,1.882,0.991,0.387,0.283,0.469,0.235,0.092,0.068
29.150,38.150,0.666,0.352,0.144,0.106,1.645,0.853,0.335,0.246,0.405,0.205,0.084,0.063
29.150,38.250,0.530,0.291,0.123,0.093,1.308,0.701,0.294,0.219,0.325,0.175,0.077,0.058
29.150,38.350,0.494,0.270,0.114,0.086,1.201,0.646,0.271,0.205,0.290,0.162,0.073,0.056
29.150,38.450,0.471,0.257,0.109,0.082,1.144,0.613,0.255,0.193,0.270,0.154,0.070,0.054
29.150,38.550,0.472,0.254,0.107,0.081,1.144,0.606,0.250,0.189,0.267,0.152,0.069,0.054
29.150,38.650,0.484,0.260,0.110,0.082,1.173,0.619,0.256,0.193,0.274,0.154,0.070,0.054
29.150,38.750,0.496,0.274,0.116,0.087,1.210,0.655,0.275,0.206,0.288,0.162,0.073,0.056
29.150,38.850,0.572,0.315,0.131,0.097,1.403,0.761,0.308,0.225,0.342,0.184,0.078,0.058
29.150,38.950,0.747,0.411,0.158,0.112,1.849,0.983,0.368,0.260,0.458,0.232,0.087,0.063
29.150,39.050,0.968,0.509,0.177,0.122,2.376,1.209,0.414,0.289,0.610,0.286,0.094,0.067
29.150,39.150,0.741,0.409,0.164,0.117,1.863,0.992,0.387,0.278,0.452,0.232,0.090,0.066
29.150,39.250,0.715,0.381,0.153,0.111,1.787,0.921,0.358,0.260,0.428,0.215,0.086,0.064
29.150,39.350,0.680,0.359,0.145,0.106,1.694,0.866,0.334,0.243,0.402,0.203,0.083,0.062
29.150,39.450,0.665,0.345,0.134,0.098,1.634,0.825,0.313,0.226,0.394,0.196,0.081,0.061
29.150,39.550,0.591,0.307,0.121,0.089,1.446,0.733,0.286,0.209,0.361,0.186,0.079,0.059
29.150,39.650,0.562,0.295,0.117,0.085,1.367,0.700,0.274,0.202,0.348,0.183,0.079,0.059
29.150,39.750,0.575,0.306,0.118,0.085,1.415,0.729,0.276,0.199,0.363,0.193,0.081,0.060
29.150,39.850,0.760,0.375,0.124,0.087,1.838,0.882,0.290,0.205,0.464,0.224,0.085,0.061
29.150,39.950,0.612,0.329,0.126,0.089,1.525,0.794,0.294,0.209,0.383,0.208,0.086,0.062
29.150,40.050,0.630,0.324,0.126,0.091,1.551,0.780,0.295,0.212,0.403,0.212,0.087,0.063
29.150,40.150,0.634,0.334,0.132,0.095,1.572,0.806,0.307,0.219,0.411,0.219,0.090,0.064
29.150,40.250,0.707,0.373,0.145,0.103,1.737,0.889,0.333,0.234,0.444,0.234,0.095,0.067
29.150,40.350,0.756,0.409,0.155,0.108,1.859,0.972,0.359,0.248,0.482,0.257,0.102,0.070
29.150,40.450,0.857,0.451,0.165,0.113,2.104,1.081,0.390,0.264,0.560,0.290,0.108,0.074
29.150,40.550,0.744,0.442,0.186,0.125,1.887,1.094,0.435,0.293,0.526,0.298,0.117,0.077
29.150,40.650,1.056,0.619,0.250,0.151,2.669,1.514,0.583,0.346,0.722,0.397,0.146,0.085
29.150,40.750,1.134,0.667,0.285,0.158,2.865,1.627,0.650,0.365,0.783,0.428,0.160,0.087
29.150,40.850,0.887,0.536,0.217,0.143,2.272,1.310,0.508,0.326,0.623,0.350,0.129,0.080
29.150,40.950,0.701,0.406,0.169,0.114,1.732,0.977,0.402,0.267,0.476,0.267,0.108,0.071
29.150,41.050,0.554,0.315,0.130,0.086,1.354,0.760,0.303,0.202,0.374,0.216,0.089,0.059
29.150,41.150,0.477,0.263,0.105,0.068,1.160,0.627,0.240,0.156,0.321,0.187,0.078,0.053
29.150,41.250,0.432,0.230,0.087,0.057,1.048,0.550,0.205,0.130,0.293,0.168,0.071,0.047
29.150,41.350,0.434,0.216,0.077,0.051,1.059,0.511,0.175,0.113,0.289,0.159,0.064,0.043
29.150,41.450,0.568,0.224,0.068,0.045,1.375,0.526,0.154,0.102,0.340,0.160,0.060,0.040
29.150,41.550,0.667,0.222,0.060,0.040,1.604,0.517,0.135,0.089,0.399,0.158,0.056,0.038
29.150,41.650,0.460,0.175,0.053,0.036,1.115,0.406,0.117,0.080,0.297,0.137,0.052,0.035
29.150,41.750,0.294,0.131,0.046,0.032,0.701,0.303,0.104,0.072,0.222,0.119,0.047,0.032
29.150,41.850,0.220,0.107,0.041,0.029,0.521,0.244,0.090,0.064,0.191,0.107,0.043,0.030
29.150,41.950,0.188,0.092,0.037,0.027,0.439,0.210,0.081,0.058,0.174,0.099,0.040,0.028
29.150,42.050,0.171,0.083,0.033,0.025,0.398,0.188,0.074,0.054,0.162,0.092,0.038,0.026
29.150,42.150,0.163,0.077,0.031,0.022,0.377,0.174,0.067,0.049,0.154,0.086,0.035,0.024
29.250,35.350,0.923,0.505,0.205,0.150,2.105,1.115,0.426,0.310,0.617,0.310,0.111,0.079
29.250,35.450,0.843,0.478,0.205,0.151,1.938,1.070,0.429,0.314,0.559,0.294,0.112,0.080
29.250,35.550,0.766,0.442,0.197,0.148,1.753,0.988,0.420,0.311,0.503,0.274,0.110,0.080
29.250,35.650,0.717,0.421,0.192,0.147,1.651,0.939,0.416,0.312,0.474,0.261,0.108,0.080
29.250,35.750,0.722,0.424,0.196,0.149,1.673,0.950,0.424,0.319,0.473,0.260,0.109,0.081
29.250,35.850,0.779,0.448,0.204,0.153,1.813,1.015,0.440,0.329,0.510,0.276,0.113,0.083
29.250,35.950,0.819,0.472,0.209,0.155,1.945,1.090,0.453,0.335,0.533,0.290,0.116,0.085
29.250,36.050,0.804,0.471,0.208,0.153,1.931,1.097,0.451,0.331,0.518,0.289,0.117,0.085
29.250,36.150,0.947,0.521,0.205,0.150,2.287,1.195,0.446,0.323,0.589,0.308,0.116,0.084
29.250,36.250,0.849,0.463,0.189,0.141,2.039,1.068,0.417,0.307,0.531,0.281,0.111,0.081
29.250,36.350,0.678,0.387,0.171,0.130,1.610,0.882,0.381,0.290,0.438,0.242,0.105,0.078
29.250,36.450,0.667,0.370,0.163,0.124,1.585,0.848,0.362,0.278,0.429,0.235,0.101,0.076
29.250,36.550,0.657,0.362,0.160,0.121,1.567,0.835,0.356,0.273,0.428,0.231,0.099,0.075
29.250,36.650,0.698,0.382,0.164,0.123,1.676,0.886,0.369,0.280,0.449,0.236,0.099,0.075
29.250,36.750,0.804,0.431,0.173,0.127,1.936,1.005,0.392,0.289,0.489,0.252,0.101,0.075
29.250,36.850,0.782,0.426,0.173,0.128,1.882,0.996,0.397,0.290,0.481,0.249,0.100,0.074
29.250,36.950,0.787,0.431,0.177,0.130,1.895,1.011,0.405,0.295,0.481,0.247,0.099,0.074
29.250,37.050,0.815,0.445,0.179,0.130,1.982,1.051,0.408,0.296,0.500,0.254,0.099,0.073
29.250,37.150,0.856,0.459,0.177,0.128,2.096,1.089,0.406,0.292,0.541,0.264,0.098,0.072
29.250,37.250,0.836,0.446,0.171,0.124,2.042,1.053,0.392,0.284,0.512,0.253,0.095,0.070
29.250,37.350,0.758,0.405,0.159,0.116,1.825,0.944,0.362,0.266,0.451,0.227,0.089,0.067
29.250,37.450,0.649,0.352,0.148,0.110,1.567,0.828,0.336,0.250,0.386,0.204,0.085,0.064
29.250,37.550,0.628,0.342,0.147,0.110,1.534,0.815,0.336,0.251,0.376,0.200,0.085,0.064
29.250,37.650,0.715,0.388,0.159,0.118,1.764,0.926,0.372,0.277,0.428,0.218,0.089,0.067
29.250,37.750,0.863,0.468,0.182,0.132,2.174,1.137,0.425,0.306,0.527,0.261,0.097,0.071
29.250,37.850,0.889,0.483,0.186,0.133,2.242,1.174,0.434,0.310,0.557,0.273,0.099,0.072
29.250,37.950,0.778,0.421,0.168,0.122,1.940,1.024,0.400,0.291,0.483,0.240,0.093,0.069
29.250,38.050,0.700,0.373,0.151,0.111,1.730,0.900,0.352,0.258,0.425,0.212,0.086,0.064
29.250,38.150,0.617,0.326,0.133,0.100,1.512,0.785,0.312,0.230,0.360,0.187,0.079,0.060
29.250,38.250,0.523,0.282,0.118,0.089,1.265,0.673,0.281,0.210,0.302,0.166,0.075,0.057
29.250,38.350,0.486,0.263,0.111,0.083,1.172,0.626,0.261,0.198,0.276,0.156,0.071,0.055
29.250,38.450,0.467,0.253,0.108,0.081,1.131,0.602,0.250,0.189,0.263,0.150,0.069,0.054
29.250,38.550,0.468,0.253,0.107,0.080,1.135,0.602,0.249,0.188,0.263,0.150,0.069,0.054
29.250,38.650,0.478,0.260,0.111,0.083,1.162,0.620,0.258,0.195,0.272,0.154,0.070,0.054
29.250,38.750,0.503,0.281,0.119,0.089,1.230,0.671,0.284,0.210,0.296,0.165,0.074,0.056
29.250,38.850,0.607,0.338,0.140,0.103,1.509,0.816,0.325,0.236,0.368,0.196,0.080,0.059
29.250,38.950,0.864,0.468,0.171,0.119,2.154,1.126,0.401,0.280,0.536,0.263,0.091,0.065
29.250,39.050,0.876,0.481,0.179,0.124,2.204,1.163,0.418,0.292,0.539,0.270,0.094,0.067
29.250,39.150,0.746,0.407,0.162,0.116,1.877,0.987,0.383,0.275,0.457,0.231,0.090,0.066
29.250,39.250,0.730,0.383,0.151,0.110,1.818,0.924,0.352,0.255,0.434,0.215,0.086,0.063
29.250,39.350,0.673,0.352,0.140,0.103,1.677,0.850,0.325,0.236,0.400,0.201,0.082,0.061
29.250,39.450,0.642,0.334,0.130,0.094,1.587,0.803,0.304,0.220,0.383,0.194,0.081,0.060
29.250,39.550,0.581,0.304,0.119,0.086,1.428,0.727,0.281,0.205,0.357,0.186,0.079,0.059
29.250,39.650,0.554,0.290,0.115,0.084,1.349,0.689,0.269,0.197,0.343,0.181,0.078,0.058
29.250,39.750,0.550,0.291,0.115,0.084,1.341,0.691,0.268,0.196,0.345,0.185,0.080,0.059
29.250,39.850,0.570,0.304,0.118,0.085,1.402,0.726,0.276,0.200,0.359,0.194,0.082,0.060
29.250,39.950,0.578,0.310,0.122,0.087,1.439,0.748,0.286,0.205,0.364,0.200,0.084,0.061
29.250,40.050,0.643,0.330,0.125,0.090,1.597,0.797,0.292,0.209,0.409,0.214,0.087,0.062
29.250,40.150,0.651,0.332,0.129,0.093,1.609,0.800,0.301,0.216,0.422,0.218,0.089,0.064
29.250,40.250,0.696,0.364,0.142,0.101,1.708,0.867,0.325,0.230,0.437,0.230,0.093,0.066
29.250,40.350,0.741,0.405,0.154,0.107,1.829,0.962,0.355,0.245,0.474,0.255,0.101,0.069
29.250,40.450,0.897,0.469,0.167,0.113,2.195,1.119,0.392,0.263,0.581,0.300,0.109,0.073
29.250,40.550,0.771,0.454,0.188,0.125,1.947,1.120,0.439,0.293,0.546,0.306,0.118,0.077
29.250,40.650,1.009,0.589,0.247,0.150,2.550,1.437,0.578,0.343,0.694,0.382,0.146,0.084
29.250,40.750,1.024,0.602,0.261,0.154,2.591,1.466,0.606,0.356,0.715,0.392,0.151,0.085
29.250,40.850,0.792,0.472,0.203,0.134,2.004,1.162,0.466,0.310,0.580,0.321,0.122,0.078
29.250,40.950,0.647,0.370,0.156,0.106,1.597,0.892,0.364,0.244,0.449,0.251,0.103,0.067
29.250,41.050,0.537,0.302,0.122,0.081,1.309,0.724,0.289,0.189,0.362,0.209,0.086,0.058
29.250,41.150,0.470,0.257,0.102,0.066,1.143,0.612,0.233,0.152,0.315,0.183,0.077,0.052
29.250,41.250,0.429,0.227,0.086,0.056,1.040,0.541,0.201,0.127,0.290,0.166,0.070,0.046
29.250,41.350,0.434,0.214,0.076,0.050,1.059,0.505,0.172,0.112,0.287,0.158,0.063,0.042
29.250,41.450,0.567,0.220,0.067,0.044,1.365,0.515,0.152,0.100,0.337,0.158,0.059,0.040
29.250,41.550,0.631,0.211,0.059,0.040,1.517,0.489,0.132,0.088,0.380,0.154,0.055,0.037
29.250,41.650,0.416,0.163,0.052,0.036,0.997,0.378,0.114,0.078,0.274,0.133,0.051,0.034
29.250,41.750,0.269,0.123,0.045,0.032,0.640,0.285,0.101,0.070,0.214,0.116,0.046,0.032
29.250,41.850,0.210,0.102,0.040,0.029,0.494,0.233,0.088,0.063,0.188,0.106,0.043,0.030
29.250,41.950,0.182,0.090,0.036,0.027,0.425,0.203,0.079,0.057,0.171,0.097,0.040,0.028
29.250,42.050,0.168,0.081,0.033,0.024,0.388,0.182,0.072,0.053,0.160,0.090,0.037,0.026
29.350,35.350,0.905,0.498,0.204,0.149,2.067,1.104,0.425,0.309,0.601,0.305,0.111,0.079
29.350,35.450,0.829,0.471,0.203,0.150,1.902,1.053,0.426,0.313,0.546,0.289,0.111,0.080
29.350,35.550,0.755,0.437,0.195,0.148,1.730,0.976,0.418,0.310,0.495,0.269,0.109,0.079
29.350,35.650,0.710,0.418,0.191,0.147,1.638,0.933,0.415,0.311,0.468,0.257,0.107,0.079
29.350,35.750,0.719,0.423,0.195,0.149,1.669,0.949,0.424,0.319,0.469,0.258,0.108,0.080
29.350,35.850,0.816,0.466,0.207,0.154,1.922,1.064,0.446,0.332,0.528,0.283,0.113,0.083
29.350,35.950,0.988,0.542,0.215,0.157,2.362,1.232,0.466,0.339,0.624,0.319,0.118,0.085
29.350,36.050,0.863,0.497,0.210,0.154,2.094,1.151,0.456,0.332,0.544,0.297,0.117,0.084
29.350,36.150,0.787,0.459,0.201,0.149,1.893,1.069,0.437,0.320,0.503,0.280,0.113,0.083
29.350,36.250,0.748,0.426,0.184,0.139,1.781,0.979,0.408,0.302,0.478,0.262,0.108,0.080
29.350,36.350,0.685,0.385,0.168,0.127,1.620,0.877,0.374,0.285,0.441,0.241,0.103,0.077
29.350,36.450,0.715,0.383,0.161,0.121,1.695,0.872,0.355,0.269,0.457,0.240,0.099,0.075
29.350,36.550,0.695,0.371,0.156,0.117,1.660,0.851,0.344,0.259,0.436,0.232,0.096,0.073
29.350,36.650,0.693,0.373,0.155,0.116,1.676,0.864,0.345,0.258,0.436,0.231,0.095,0.072
29.350,36.750,0.782,0.407,0.159,0.117,1.877,0.940,0.355,0.262,0.495,0.248,0.096,0.071
29.350,36.850,0.793,0.416,0.161,0.118,1.908,0.964,0.360,0.265,0.497,0.250,0.096,0.071
29.350,36.950,0.809,0.432,0.168,0.122,1.943,1.006,0.379,0.277,0.493,0.249,0.096,0.071
29.350,37.050,0.846,0.452,0.173,0.125,2.051,1.062,0.396,0.286,0.520,0.257,0.097,0.071
29.350,37.150,0.841,0.452,0.174,0.126,2.044,1.064,0.398,0.288,0.513,0.256,0.096,0.071
29.350,37.250,0.797,0.432,0.170,0.123,1.935,1.018,0.390,0.284,0.483,0.244,0.094,0.069
29.350,37.350,0.799,0.423,0.163,0.119,1.931,0.991,0.373,0.273,0.489,0.239,0.090,0.067
29.350,37.450,0.730,0.390,0.155,0.114,1.761,0.910,0.354,0.260,0.434,0.218,0.087,0.065
29.350,37.550,0.646,0.351,0.149,0.111,1.575,0.835,0.341,0.255,0.386,0.203,0.085,0.064
29.350,37.650,0.677,0.371,0.156,0.116,1.672,0.889,0.362,0.270,0.404,0.211,0.087,0.065
29.350,37.750,0.801,0.434,0.172,0.125,1.991,1.050,0.404,0.293,0.488,0.242,0.093,0.069
29.350,37.850,0.803,0.434,0.171,0.124,2.006,1.056,0.403,0.292,0.491,0.244,0.093,0.068
29.350,37.950,0.711,0.384,0.156,0.114,1.763,0.926,0.365,0.268,0.431,0.216,0.087,0.064
29.350,38.050,0.628,0.333,0.137,0.103,1.553,0.806,0.320,0.236,0.374,0.192,0.080,0.060
29.350,38.150,0.534,0.291,0.122,0.092,1.310,0.699,0.291,0.216,0.313,0.170,0.076,0.057
29.350,38.250,0.498,0.272,0.115,0.086,1.207,0.648,0.270,0.205,0.283,0.159,0.072,0.055
29.350,38.350,0.474,0.258,0.110,0.082,1.147,0.615,0.256,0.194,0.265,0.152,0.069,0.054
29.350,38.450,0.461,0.251,0.107,0.080,1.118,0.598,0.249,0.188,0.257,0.148,0.068,0.053
29.350,38.550,0.460,0.251,0.108,0.081,1.117,0.599,0.250,0.189,0.258,0.149,0.068,0.053
29.350,38.650,0.471,0.261,0.112,0.084,1.151,0.625,0.263,0.199,0.272,0.155,0.070,0.054
29.350,38.750,0.514,0.291,0.124,0.092,1.265,0.696,0.293,0.216,0.308,0.170,0.075,0.056
29.350,38.850,0.659,0.365,0.148,0.107,1.643,0.879,0.342,0.246,0.408,0.210,0.082,0.060
29.350,38.950,0.949,0.500,0.175,0.121,2.353,1.197,0.409,0.285,0.607,0.285,0.092,0.065
29.350,39.050,0.891,0.477,0.174,0.121,2.249,1.159,0.410,0.287,0.569,0.274,0.093,0.066
29.350,39.150,0.799,0.422,0.161,0.115,2.012,1.026,0.380,0.271,0.487,0.238,0.089,0.065
29.350,39.250,0.720,0.378,0.149,0.108,1.799,0.914,0.346,0.249,0.426,0.212,0.084,0.063
29.350,39.350,0.636,0.333,0.133,0.098,1.591,0.810,0.312,0.227,0.382,0.195,0.081,0.060
29.350,39.450,0.620,0.322,0.123,0.088,1.548,0.781,0.290,0.209,0.381,0.195,0.080,0.059
29.350,39.550,0.632,0.319,0.116,0.083,1.567,0.765,0.272,0.196,0.390,0.196,0.079,0.058
29.350,39.650,0.553,0.289,0.114,0.082,1.354,0.689,0.265,0.192,0.341,0.181,0.078,0.058
29.350,39.750,0.536,0.282,0.113,0.083,1.305,0.669,0.262,0.192,0.335,0.180,0.079,0.058
29.350,39.850,0.524,0.282,0.114,0.083,1.290,0.673,0.266,0.195,0.335,0.184,0.080,0.059
29.350,39.950,0.582,0.308,0.119,0.086,1.451,0.742,0.279,0.202,0.365,0.199,0.083,0.061
29.350,40.050,0.687,0.343,0.123,0.088,1.699,0.821,0.288,0.207,0.433,0.219,0.086,0.062
29.350,40.150,0.640,0.329,0.127,0.092,1.590,0.793,0.297,0.213,0.409,0.216,0.088,0.063
29.350,40.250,0.636,0.342,0.138,0.099,1.573,0.820,0.317,0.226,0.408,0.221,0.092,0.065
29.350,40.350,0.727,0.396,0.151,0.106,1.790,0.939,0.348,0.241,0.469,0.252,0.100,0.069
29.350,40.450,0.857,0.452,0.165,0.112,2.104,1.084,0.386,0.260,0.560,0.293,0.108,0.073
29.350,40.550,0.798,0.455,0.185,0.123,1.995,1.117,0.432,0.290,0.574,0.311,0.117,0.077
29.350,40.650,1.072,0.625,0.232,0.147,2.711,1.538,0.550,0.335,0.745,0.409,0.139,0.083
29.350,40.750,1.065,0.620,0.249,0.151,2.695,1.528,0.583,0.347,0.741,0.407,0.147,0.084
29.350,40.850,0.794,0.469,0.198,0.131,1.999,1.152,0.457,0.304,0.587,0.321,0.120,0.077
29.350,40.950,0.627,0.359,0.151,0.102,1.548,0.866,0.349,0.232,0.440,0.246,0.100,0.065
29.350,41.050,0.526,0.294,0.117,0.078,1.280,0.702,0.278,0.179,0.355,0.205,0.084,0.056
29.350,41.150,0.466,0.253,0.099,0.064,1.132,0.602,0.227,0.148,0.311,0.180,0.076,0.051
29.350,41.250,0.428,0.225,0.084,0.055,1.035,0.535,0.196,0.125,0.287,0.164,0.069,0.046
29.350,41.350,0.432,0.212,0.075,0.049,1.050,0.500,0.169,0.110,0.284,0.156,0.063,0.042
29.350,41.450,0.545,0.213,0.066,0.043,1.308,0.498,0.150,0.098,0.326,0.155,0.058,0.039
29.350,41.550,0.587,0.197,0.058,0.039,1.395,0.458,0.129,0.086,0.354,0.149,0.055,0.037
29.350,41.650,0.379,0.152,0.050,0.035,0.905,0.352,0.112,0.077,0.259,0.130,0.050,0.034
29.350,41.750,0.252,0.117,0.044,0.031,0.600,0.270,0.098,0.069,0.208,0.114,0.046,0.031
29.350,41.850,0.203,0.099,0.039,0.028,0.474,0.225,0.086,0.061,0.184,0.104,0.042,0.029
29.350,41.950,0.178,0.087,0.036,0.026,0.414,0.197,0.078,0.056,0.169,0.096,0.040,0.027
29.350,42.050,0.164,0.079,0.032,0.023,0.378,0.177,0.070,0.051,0.159,0.090,0.037,0.025
29.450,35.250,0.842,0.463,0.189,0.140,1.910,1.022,0.402,0.292,0.559,0.284,0.105,0.075
29.450,35.350,0.898,0.497,0.204,0.149,2.052,1.103,0.425,0.309,0.593,0.303,0.111,0.079
29.450,35.450,0.814,0.464,0.202,0.150,1.865,1.038,0.425,0.312,0.533,0.285,0.110,0.079
29.450,35.550,0.742,0.432,0.194,0.147,1.702,0.964,0.417,0.310,0.484,0.264,0.108,0.079
29.450,35.650,0.709,0.417,0.191,0.147,1.635,0.931,0.415,0.311,0.460,0.253,0.106,0.079
29.450,35.750,0.708,0.418,0.193,0.148,1.645,0.936,0.420,0.316,0.459,0.253,0.107,0.079
29.450,35.850,0.779,0.450,0.203,0.152,1.825,1.022,0.438,0.327,0.501,0.271,0.111,0.081
29.450,35.950,0.930,0.523,0.212,0.155,2.240,1.193,0.459,0.335,0.589,0.308,0.116,0.084
29.450,36.050,1.083,0.581,0.214,0.155,2.585,1.323,0.464,0.332,0.662,0.335,0.119,0.085
29.450,36.150,0.854,0.486,0.203,0.149,2.072,1.127,0.440,0.320,0.531,0.289,0.113,0.082
29.450,36.250,0.694,0.405,0.179,0.136,1.648,0.923,0.400,0.298,0.448,0.249,0.106,0.078
29.450,36.350,0.656,0.371,0.165,0.125,1.545,0.846,0.364,0.279,0.422,0.232,0.100,0.075
29.450,36.450,0.671,0.367,0.157,0.118,1.591,0.836,0.345,0.261,0.427,0.229,0.096,0.073
29.450,36.550,0.735,0.378,0.152,0.114,1.739,0.858,0.334,0.250,0.474,0.235,0.094,0.071
29.450,36.650,0.760,0.390,0.151,0.112,1.816,0.889,0.331,0.245,0.474,0.239,0.093,0.069
29.450,36.750,0.722,0.377,0.149,0.110,1.731,0.866,0.328,0.242,0.461,0.233,0.092,0.068
29.450,36.850,0.687,0.362,0.147,0.109,1.642,0.835,0.324,0.240,0.432,0.224,0.090,0.067
29.450,36.950,0.771,0.397,0.152,0.112,1.834,0.911,0.337,0.247,0.479,0.237,0.090,0.067
29.450,37.050,0.767,0.409,0.159,0.115,1.840,0.949,0.356,0.259,0.468,0.237,0.091,0.067
29.450,37.150,0.828,0.435,0.165,0.119,1.988,1.014,0.373,0.270,0.503,0.246,0.092,0.068
29.450,37.250,0.846,0.440,0.166,0.120,2.039,1.029,0.379,0.275,0.524,0.248,0.092,0.067
29.450,37.350,0.756,0.408,0.162,0.118,1.826,0.954,0.370,0.271,0.458,0.229,0.089,0.066
29.450,37.450,0.728,0.391,0.157,0.115,1.756,0.912,0.358,0.264,0.437,0.218,0.087,0.065
29.450,37.550,0.678,0.365,0.152,0.112,1.639,0.861,0.347,0.258,0.400,0.206,0.085,0.064
29.450,37.650,0.649,0.356,0.151,0.112,1.597,0.852,0.348,0.259,0.389,0.205,0.085,0.064
29.450,37.750,0.728,0.396,0.158,0.115,1.805,0.948,0.368,0.269,0.441,0.224,0.088,0.065
29.450,37.850,0.720,0.390,0.156,0.113,1.788,0.938,0.363,0.264,0.432,0.220,0.087,0.064
29.450,37.950,0.641,0.346,0.144,0.107,1.587,0.836,0.333,0.245,0.376,0.196,0.082,0.061
29.450,38.050,0.559,0.303,0.127,0.095,1.376,0.731,0.300,0.222,0.324,0.176,0.077,0.058
29.450,38.150,0.509,0.280,0.118,0.088,1.253,0.671,0.279,0.208,0.296,0.164,0.074,0.056
29.450,38.250,0.477,0.264,0.112,0.084,1.173,0.634,0.264,0.199,0.277,0.157,0.071,0.054
29.450,38.350,0.470,0.259,0.110,0.082,1.147,0.617,0.255,0.192,0.262,0.151,0.069,0.054
29.450,38.450,0.461,0.253,0.108,0.081,1.123,0.604,0.251,0.189,0.258,0.149,0.068,0.053
29.450,38.550,0.458,0.254,0.109,0.082,1.120,0.607,0.254,0.192,0.261,0.151,0.069,0.053
